,Entity,Year,Authoritarian,Partially Authoritarian,Partial Democracy,Liberal Democracy
1609,World,1994,44,53,44,33
1610,World,1995,40,55,46,33
1611,World,1996,34,58,45,36
1612,World,1997,32,59,48,36
1613,World,1998,31,59,50,36
1614,World,1999,34,56,49,38
1615,World,2000,35,57,46,39
1616,World,2001,35,54,49,39
1617,World,2002,29,57,51,39
1618,World,2003,29,53,53,40
1619,World,2004,28,52,54,41
1620,World,2005,26,57,52,42
1621,World,2006,23,62,49,43
1622,World,2007,26,62,46,44
1623,World,2008,24,62,47,44
1624,World,2009,24,62,47,44
1625,World,2010,23,60,50,43
1626,World,2011,23,62,49,43
1627,World,2012,21,62,51,43
1628,World,2013,24,63,50,41
1629,World,2014,23,59,53,41
1630,World,2015,23,60,54,41
1631,World,2016,24,58,58,38
1632,World,2017,24,58,56,40
1633,World,2018,23,61,55,39
1634,World,2019,24,62,53,39
1635,World,2020,24,62,56,36
1636,World,2021,28,59,58,33
1637,World,2022,30,58,58,32
